"","Region","Year","DOY","Grade_pass","Altitude_Source","Filename","Rep.class","Corrected_height_m","Pixel_length","Width.5.proc.m","Width.10.proc.m","Width.15.proc.m","Width.20.proc.m","Width.25.proc.m","Width.30.proc.m","Width.35.proc.m","Width.40.proc.m","Width.45.proc.m","Width.50.proc.m","Width.55.proc.m","Width.60.proc.m","Width.65.proc.m","Width.70.proc.m","Width.75.proc.m","Width.80.proc.m","Width.85.proc.m","Width.90.proc.m","Width.95.proc.m","Total.length.m","Volume.m3"
"18","HI",2019,18,"Y","S_Alt","2019.01.18.39.02","Calf",30.95948877,0.1614,0.376556353873305,0.553858621692937,0.61281738438498,0.824969693206692,0.855782514773229,0.932229894421585,0.947193825125158,0.975922339838081,0.939692360770632,0.920641413109177,0.799335839747056,0.680717546512987,0.564662938536508,0.422811884524264,0.35376157365096,0.262557253888911,0.225570708568276,0.295995557948394,0.939598765057796,4.996861487478,1.69644406463351
"19","HI",2019,18,"Y","S_Alt","2019.01.18.46.01","Mother",29.72669054,0.43677,0.929867400883333,1.39202460097856,1.67771265173969,1.82263788345517,2.22509174281988,2.2227657809035,2.22219987998496,2.37248792053351,2.43854088863143,2.39860043447357,2.18392283206882,1.98107302809334,1.70381581220308,1.34924996419132,1.03800126980416,0.684476804957244,0.415510116594412,0.283547604355746,1.3131850745293,12.9837266271558,29.4766445414283
"20","HI",2019,18,"Y","S_Alt","2019.01.18.47.01","Calf",33.40264928,0.14545,0.469684779172816,0.552233460865857,0.654753710991837,0.876910864683981,0.869791662045892,0.952279092093493,0.974683812888484,0.933433972860467,0.932496529475005,0.912799719344753,0.796889254837412,0.669013700263995,0.541171979694991,0.445979771433315,0.393341190535249,0.272887013620537,0.251518905699041,0.36478271138142,0.890564170029348,4.858415337776,1.70144414472549
"21","HI",2019,19,"Y","S_Alt","2019.01.19.51.01","Mother",34.11383692,0.33575,0.884541796146387,1.31829646988986,1.51841984404017,1.66286629336358,1.98310247521882,2.12537740789916,2.12288683297487,2.14709670339622,2.20731332303985,2.2095040933875,2.16835804134059,2.01909547310397,1.69406242489472,1.33264168358342,1.04574839600658,0.758890864540632,0.448126017497394,0.38553159340051,1.3267693735561,11.45372074589,23.5788795600412
"22","HI",2019,19,"Y","S_Alt","2019.01.19.51.02","Calf",29.76238252,0.14891,0.3823081444958,0.527481844474731,0.57811711314209,0.742597391623977,0.795659219602757,0.83609336063855,0.856600979838534,0.861647797139577,0.832368379239438,0.782633492056179,0.729310383106304,0.617020819051686,0.54062677195791,0.431590180546244,0.27578910854701,0.247250961768018,0.18595586070544,0.282508442850808,0.726547511365839,4.4319163810532,1.23017217959308
"23","HI",2019,19,"Y","S_Alt","2019.01.19.55.01","Mother",29.10405971,0.41521,0.916583985111215,1.4043043789831,1.66611006734679,1.80900220685864,2.15883192513501,2.21450531776059,2.36133971977962,2.46395752090875,2.48230347710535,2.45393427840667,2.33077666657298,2.04827591450374,1.7714135985687,1.48815979663681,1.0517889302514,0.716394827421595,0.44785522651037,0.340978853630325,1.23371628714869,12.0842966321891,28.9909684546741
"24","HI",2019,19,"Y","S_Alt","2019.01.19.54.01","Calf",34.71112469,0.14673,0.359572231218206,0.581530489336658,0.716446976557846,0.877166618950306,0.922450257495543,0.977324616458716,0.966976813610527,0.978023602193544,0.961467484853517,0.808899618947648,0.721772844478699,0.601560743530179,0.524626441632943,0.416719670145095,0.324010182737468,0.208368702346295,0.206419736730184,0.353989517973938,0.9337789638736,5.0931633257637,1.70206630295215
"25","HI",2019,19,"Y","S_Alt","2019.01.19.57.01","Mother",27.19484647,0.44329,0.891921271326963,1.29960650365876,1.51530098928402,1.632058123295,1.9321154039577,2.16343241464348,2.20971810805742,2.31589859240769,2.32670394253936,2.21802223371896,2.08680054927404,1.97333206272039,1.68928233464598,1.44349932569632,1.14164863183068,0.868928237647588,0.682624594910895,0.282463303197625,0.932191286435171,12.0552034916863,26.2090530736886
"26","HI",2019,19,"Y","S_Alt","2019.01.19.57.02","Calf",27.64401144,0.18154,0.355102661470871,0.528903292037716,0.608667364062784,0.838108756504326,0.853644833073363,0.918289807654555,0.917055140737942,0.897332403752118,0.908318469909896,0.855066297363872,0.790373117138281,0.671625743309274,0.492600223560509,0.373789579522118,0.296140530094868,0.236677662587672,0.192325456887877,0.421255869850084,0.98188028326267,5.0184938368176,1.55911072658913
"27","HI",2019,19,"Y","S_Alt","2019.01.19.58.01","Mother",33.90035617,0.39977,1.13774139373509,1.6055765592907,1.76179715909083,1.84210096504434,2.35512431117529,2.34488577850684,2.46018805021922,2.69951129176293,2.71718789231784,2.68324387221267,2.55057580130306,2.39515254425707,2.05906769115114,1.65005363976565,1.18787635343981,0.743261761425608,0.495104287883,0.338587532473799,1.43690602286374,13.5523453860809,39.1284663785957
"28","HI",2019,19,"Y","S_Alt","2019.01.19.58.02","Calf",32.69778001,0.15087,0.368017868098156,0.555050294515393,0.676959023037531,0.865344306114712,0.836150087223356,0.950940918196279,0.970357727693004,0.950168534113274,0.935423344669341,0.882929072973979,0.76401984750559,0.63372092050448,0.522685391538809,0.459644879835868,0.358438292807682,0.271038661818632,0.179814427005271,0.420232565469155,0.965034556733175,4.9331140701087,1.64821731159276
"29","HI",2019,19,"Y","S_Alt","2019.01.19.59.01","Mother",29.75852475,0.43085,0.956976286977686,1.49258810692649,1.76610007206755,1.82749270543436,2.36456086660358,2.33137291257098,2.36803545544381,2.41050181186196,2.43136320746629,2.36844803465336,2.22649787077178,1.97852114024414,1.58955025751445,1.26682750661182,0.861669068569026,0.647747014334092,0.420714810169936,0.382869951584915,1.78831004554345,12.8214603885375,29.5518552652704
"30","HI",2019,19,"Y","S_Alt","2019.01.19.59.02","Calf",29.57969245,0.17963,0.399399696061221,0.579315785691232,0.707582294102217,0.893238289242231,0.909018723202717,0.957165156639531,1.00469274951846,1.02104991746596,1.03572983626701,0.995896282195852,0.934571096742706,0.82285059877145,0.645922807045552,0.541631585403071,0.391263537674879,0.270262345168898,0.218859024106846,0.522127900309681,1.06858516642317,5.3134001547935,2.17031190099291
"33","HI",2019,19,"Y","S_Alt","2019.01.19.64.01","Mother",35.18638203,0.34808,0.923940904691377,1.35313657497401,1.60620400712662,1.77325583536898,2.2238572461613,2.32096689406901,2.46008508422833,2.75055520867268,2.83681051674621,2.79195199176291,2.66274402934433,2.50173480754512,2.24699532758358,1.73228110841355,1.21361397525374,0.783471252088223,0.487318812918559,0.348655030639909,1.20383904036206,12.2476758570024,36.387031296396
"34","HI",2019,19,"Y","S_Alt","2019.01.19.64.02","Calf",32.28207353,0.13569,0.337686717584023,0.492943757285246,0.584690856876006,0.762562658974091,0.725069320327787,0.725957648785402,0.788613447528642,0.82692200739107,0.836682046213986,0.774501705171528,0.728176102128783,0.641877310314218,0.493582259667289,0.406927926037445,0.297079759885099,0.219012598381491,0.178274153389644,0.231979349260418,0.704286965107927,4.3803545572857,1.12753853722899
"35","HI",2019,19,"Y","S_Alt","2019.01.19.65.01","Mother",34.68783313,0.35017,0.842565185426736,1.41401676171523,1.60314815414494,1.80311434935552,2.27327095500227,2.36127947425182,2.44276144307046,2.54607490420512,2.66175891135753,2.61495005788136,2.53288908552674,2.30717109470878,1.93879366334176,1.5209602967896,1.09251818842474,0.701399194248013,0.416383669616735,0.33250255530302,1.54695419555212,12.1466385271321,32.277726541819
"36","HI",2019,19,"Y","S_Alt","2019.01.19.65.02","Calf",33.36168725,0.14266,0.36769014790987,0.489217095455773,0.571013386781526,0.709283498229455,0.810777965871996,0.814367868310633,0.850402330325379,0.867678665580745,0.856746091863364,0.827620563752592,0.7374929783276,0.614131077320896,0.514425846550114,0.41963915911538,0.337353127714646,0.2081080611919,0.175946373837422,0.354100863523063,1.01700821435441,4.759378303085,1.31764269635911
"37","HI",2019,20,"Y","S_Alt","2019.01.20.83.01","Mother",36.99503575,0.37075,1.08265678830754,1.63889181924122,1.79551732034607,1.80937407852509,2.43174902475305,2.60684910432837,2.80598688863501,2.95307536947742,3.04894127467254,3.02475700036066,2.90878940795171,2.65946987156097,2.33541211385396,1.77994781814271,1.32084184167074,0.882894841513671,0.524177074306082,0.468491484214398,1.61444075128721,13.7159095043125,47.8708348159533
"38","HI",2019,20,"Y","S_Alt","2019.01.20.83.02","Calf",36.72534587,0.133010894,0.427970211340932,0.56641745843945,0.660917212295526,0.855308783351335,0.865361366887813,0.886834793679441,0.911975477843927,0.929694170456738,0.923981799277113,0.883077482731126,0.803883699149905,0.714981518095021,0.607719729312789,0.521156949169338,0.413185360725605,0.322318633654794,0.199311047155399,0.430306654072131,0.999200407636529,4.88487108662791,1.70364210434259
"39","HI",2019,24,"Y","S_Alt","2019.01.24.115.01","Mother",38.40784834,0.32809,1.12572897206974,1.59685467815554,1.86233542736636,1.95920110741198,2.56927136711965,2.59642117413144,2.70344382436926,2.79539820993094,2.81774717350828,2.79818218476586,2.58092774896314,2.31701298622703,1.93048077622221,1.5657936897367,1.17076581714392,0.72975696875475,0.541021631304189,0.438152248123764,2.02449742127745,12.6012309618706,38.5123201744072
"40","HI",2019,24,"Y","S_Alt","2019.01.24.115.02","Calf",39.13584215,0.14053,0.470110199469566,0.632191319664633,0.779305467411843,1.09674990486066,1.09414744157623,1.20159399413907,1.21891513650108,1.20075798278676,1.17185815576463,1.09251768232653,0.992361461890135,0.809484404941928,0.73776972478506,0.554178162679959,0.457562111510627,0.360286364691586,0.225802849424674,0.481621528240234,1.22014141741542,5.4997598973395,2.93625507995925
"47","HI",2019,24,"Y","S_Alt","2019.01.24.122.01","Mother",35.73325981,0.35783,1.1275031062778,1.61156048843682,1.84284845192378,2.07544446232637,2.63617461001286,2.71233306252422,2.89852409485956,2.94992329613265,2.954547519624,2.88193707065751,2.67627578230811,2.36421128542055,2.00599359194122,1.66575387552834,1.17441165215487,0.714246094266077,0.532355344354908,0.403698440085603,1.967859096971,12.7864323578123,42.0779224882084
"49","HI",2019,24,"Y","S_Alt","2019.01.24.123.01","Mother",36.83463262,0.34276,1.11150429173045,1.61528634733721,1.95180755732563,2.12922062941413,2.16439944976886,2.82799000678625,2.79970263315309,2.90903348421766,3.02937003244288,2.89584332103171,2.76114175826228,2.34044666276245,1.9998763862123,1.64655556803856,1.04019919025226,0.721822222919131,0.390506738224849,0.510852382952377,1.9802738119616,12.6254386768312,40.5956530797784
"50","HI",2019,24,"Y","S_Alt","2019.01.24.123.02","Calf",37.19522138,0.14332,0.43445105882003,0.636343676473503,0.761813043028254,1.0651473850261,1.07271815038212,1.09813602746795,1.10528882621865,1.11014888870585,1.10660801310955,1.05024204105329,0.945072540888114,0.853278613390674,0.727886055943331,0.591348573508283,0.507666272010947,0.364999465771111,0.297948780741347,0.382062490557741,1.21839713255861,5.3308191281816,2.68331861549095
"53","HI",2019,24,"Y","S_Alt","2019.01.24.126.01","Mother",28.70815445,0.39767,0.987276148715875,1.4419886445913,1.837364890174,1.90274895040259,2.40227308423026,2.43639961856194,2.61945278213057,2.8536230962608,2.94163983726731,2.88992229172233,2.61302252899161,2.30233618179825,2.06912128898101,1.56813318014303,1.25515354415232,0.776269000139391,0.516634007189664,0.394323498444472,2.05959448085151,11.4163717801315,34.8652978309574
"55","HI",2019,64,"Y","S_Alt","2019.03.05.02.01","Mother",25.87250677,0.4522,0.852330759123651,1.31343215765856,1.63282863612986,1.66313982395192,2.10651055815753,2.05787787885432,1.98847733267489,2.12724332639107,2.15844133991829,2.09319764298742,1.97592020827725,1.71671439214505,1.54835322291757,1.26455378785656,0.911917724808587,0.69852733692681,0.41176323651375,0.284170310718699,1.13905859093927,11.699547561394,21.9361431874285
"56","HI",2019,64,"Y","S_Alt","2019.03.05.02.02","Calf",25.43865133,0.21805,0.442174296031359,0.60704474298202,0.691171215633922,0.813840308500361,0.960253452613882,1.02088825787418,1.07271237047436,1.08276945109766,1.0432910692036,0.965829194405585,0.845768252942309,0.744063660773983,0.630520879059444,0.496824553123062,0.394652357459869,0.25681138939579,0.189870315887398,0.485817843575433,1.25047990978464,5.5468979225065,2.23303352238287
"57","HI",2019,64,"Y","S_Alt","2019.03.05.04.01","Mother",27.06731542,0.42318,0.914702878991785,1.31670233427051,1.49129292052855,1.52135256215199,2.00833066897213,1.98022170256436,2.09332077486009,2.17362948931738,2.27693165901793,2.24742297146304,2.09190158132385,1.8841518072688,1.48019136786253,1.20169611327596,0.944216148285295,0.661252553113694,0.419604785909836,0.288733149523515,1.06874207668877,11.4543465394356,21.9664412254043
"58","HI",2019,64,"Y","S_Alt","2019.03.05.04.02","Calf",26.99206632,0.15774,0.3514495189416,0.478338344929923,0.555926506365485,0.745559349002923,0.751746680119165,0.779810646253546,0.835431483053038,0.836121660849586,0.812318829439354,0.767254604785203,0.699424731393485,0.641188797723916,0.530926401689435,0.374707786871397,0.28226951982943,0.21823370834088,0.164670205972552,0.198989626879836,0.804808196292471,4.2577285413168,1.10017524984071
"59","HI",2019,64,"Y","S_Alt","2019.03.05.05.01","Mother",24.83917891,0.44853,0.843029377172971,1.2311346414061,1.48584397046286,1.56486011396977,1.68978545795451,1.83793557426339,1.85502270527823,1.95946399170029,1.92732521173126,1.913162623907,1.79373207878548,1.64364452224482,1.31555199839412,1.03107694727154,0.78561585936716,0.515735671405191,0.389025520490427,0.289120896876768,1.49443934216394,11.1411169165023,16.7684923342808
"60","HI",2019,64,"Y","S_Alt","2019.03.05.05.02","Calf",25.66995904,0.1658,0.317279213604562,0.436188533796356,0.543458754175758,0.647780788487202,0.747551797300642,0.781009261569191,0.807629760196672,0.816767136650114,0.795909794879312,0.76562183279758,0.657237796489226,0.59137411951671,0.468804571205319,0.405882270574026,0.300641348761396,0.220564920878905,0.167483526594273,0.284495486674771,0.835884167632424,4.256079208832,1.02491903905943
"61","HI",2019,64,"Y","S_Alt","2019.03.05.06.04","Mother",25.20467788,0.46349,0.929324021896476,1.35294792701927,1.59271751995228,1.62291929483643,1.80035895704791,2.04860158882496,2.08032203880868,2.1268495710133,2.17137245208647,2.11396886974565,2.02350022585216,1.85963284618445,1.58477251275826,1.23760922605277,0.910212079874093,0.62568946817974,0.352664395200809,0.254373406332881,1.18278038211153,11.6821161506012,21.8242170752604
"62","HI",2019,64,"Y","S_Alt","2019.03.05.06.05","Calf",25.79419123,0.18821,0.377616510199773,0.511516614906362,0.602335892346523,0.68986755019858,0.856137988469187,0.852700357886884,0.928752048166604,0.936099674047576,0.952544568602714,0.959741698017012,0.899083854388083,0.796218548471904,0.668565503549678,0.51706702169177,0.395017300054524,0.285429171330305,0.219351027538769,0.24509806015174,0.749788446613283,4.8547247313983,1.72138235310611
"63","HI",2019,64,"Y","S_Alt","2019.03.05.07.01","Mother",25.88387991,0.44256,0.921802103355221,1.35255887545948,1.58988708530203,1.6552617398812,1.67995679513647,2.07090570634567,2.01620727010674,2.0668998334341,2.17381666163013,2.15174598579735,2.07498489234456,1.90946914256104,1.66672951046106,1.44033869683232,1.02624690588835,0.744816291957873,0.428110627858985,0.247093742176301,0.998635364378336,11.4551698929696,22.3079453502035
"64","HI",2019,64,"Y","S_Alt","2019.03.05.07.02","Calf",25.81149396,0.17086,0.356505209806342,0.478703461548704,0.547393781813071,0.633901115583779,0.814252511756175,0.832313406660266,0.875759135659036,0.892367767556285,0.878257927701782,0.838559504736759,0.790498551818586,0.703530357178715,0.581933209134599,0.446612550538741,0.346275862571698,0.279098665409813,0.226181253265604,0.255294429741042,0.7845130937169,4.4101518580056,1.31506224079048
"65","HI",2019,64,"Y","S_Alt","2019.03.05.09.01","Mother",30.48263073,0.39848,0.900851674512928,1.35303878597992,1.59292433345371,1.70417491529369,1.9007136824386,2.15816217047103,2.14358003467973,2.19953996769972,2.2978518647876,2.29423457196074,2.11602884733961,1.88924960933588,1.6481712540864,1.33333802293127,0.979437300442909,0.636870681167256,0.333332683725014,0.285987203602307,1.66871257006863,12.1467186932904,24.7105914724364
"66","HI",2019,64,"Y","S_Alt","2019.03.05.09.02","Calf",28.0597386,0.18099,0.376551824580443,0.54303473996943,0.647368611063451,0.78787381910969,0.91542572320918,0.986752690695773,1.0368884673337,1.08114635093158,1.06230296546776,0.980356279529408,0.950015605268817,0.840050657794275,0.656532314365229,0.521721156497417,0.382161571126189,0.259488612804807,0.17899184777793,0.399075114396107,1.00724355196933,5.078532089214,2.0637154104637
"67","HI",2019,64,"Y","S_Alt","2019.03.05.14.01","Mother",26.80238287,0.482641,0.895100304619328,1.36152462394787,1.59658080027267,1.78425008195811,1.92545997510421,2.30331975101198,2.35943581045334,2.46739260484426,2.52866363194062,2.41908208488352,2.25772836329988,2.08266385070611,1.84876155923659,1.46996651567145,1.04350257421757,0.728834810843454,0.54274112529448,0.328738173206841,1.14967938479588,12.9359288707597,30.8202052955108
"68","HI",2019,64,"Y","S_Alt","2019.03.05.14.02","Calf",25.27805611,0.2103,0.385412454775302,0.543750370897867,0.670022324614435,0.828493671714518,0.95605581261211,0.989894652747284,1.0350001707212,1.04723860882648,1.06397808313355,1.04505321142179,0.954215421997894,0.804178401150024,0.64821832073439,0.502988004662301,0.425506071330717,0.317112273809043,0.182620759238338,0.356935838824301,1.0190655350594,5.315975199933,2.21493416278021
"72","HI",2019,65,"Y","S_Alt","2019.03.06.18.02","Mother",26.4968912,0.4544,0.784680682671868,1.40685495652854,1.55031017688198,1.6862860328466,2.02341850307486,2.05273876733704,2.21447580817985,2.20666774667606,2.23208097013952,2.18624036479892,2.12316904732559,1.94440356949772,1.54143655879672,1.31358564513438,0.964571918018016,0.57952431816681,0.382619094060436,0.359954645371563,1.89698449559405,12.04018736128,24.039180960041
"73","HI",2019,65,"Y","S_Alt","2019.03.06.18.01","Calf",25.10792112,0.22466,0.443199019301983,0.572493932703014,0.735406561485494,0.886558799852393,0.959528048475834,1.03117679856396,1.05208929864872,1.0803827142972,1.08181941219103,1.04469258899744,0.992973721117741,0.904653747530529,0.671814488279034,0.581473999632654,0.456969207360173,0.377660888877731,0.241242277910468,0.228172106376128,1.04031649859291,5.6407455588192,2.60069702544882
"74","HI",2019,65,"Y","S_Alt","2019.03.06.19.01","Mother",24.95816205,0.50247,1.09041501816089,1.56047284362378,1.71869795075598,1.81409777440332,2.26186320233288,2.29260052588946,2.31047858727758,2.39230056506008,2.46987750652112,2.42178256177536,2.24898638314566,1.94107264221661,1.59977673826217,1.24281244913775,0.925283732292417,0.649742625810113,0.377567450638534,0.393124223332103,2.14253943248037,12.5407276852635,28.7424368118133
"77","HI",2019,65,"Y","S_Alt","2019.03.06.21.02","Mother",23.65425885,0.494610059,0.956208984542757,1.40947967566705,1.62087230328753,1.74822564179682,2.13324090423793,2.13332617117319,2.14365926484544,2.136841846952,2.07294172696559,1.95597182331529,1.73715488617783,1.55240776399742,1.34224295099553,1.04715634253737,0.753502924430434,0.532122625599632,0.416750458883186,0.294915390393035,1.49035985056623,11.6996343653998,20.4386774821052
"80","HI",2019,65,"Y","S_Alt","2019.03.06.24.01","Calf",21.76528874,0.18109,0.272264953031942,0.420378925785789,0.557096120286821,0.591758249738976,0.720376499071796,0.744462071455438,0.79243968974435,0.791790528624433,0.808043599626787,0.774385758294577,0.727971723589581,0.639379558585018,0.54779581319177,0.449362176418419,0.334242300415155,0.290886062897962,0.243533562724526,0.26647098310919,0.784575656553959,3.9414761379266,1.00451084254285
"81","HI",2019,65,"Y","S_Alt","2019.03.06.27.02","Mother",22.10282598,0.51762,0.847881345038538,1.34256260064556,1.37952117024304,1.6378936519143,2.11906439029817,2.05755830122064,2.07625381836379,2.12766792061557,2.15517862407461,2.07387297440229,1.91912612551001,1.63203936140445,1.26967056293522,1.05570122157624,0.724295979557802,0.539916146789082,0.355736529154078,0.292577235115289,1.96402808752686,11.4408647837676,19.714756729597
"83","HI",2019,65,"Y","S_Alt","2019.03.06.28.01","Mother",27.47660666,0.44874,0.934321696787341,1.36198016382927,1.5974519873954,1.80951312007179,2.04361633001347,2.43135443370483,2.531884652855,2.62262127018617,2.66607043731439,2.62470994719503,2.50509681537301,2.08392631670217,1.749216442525,1.38157599836399,0.898939952131944,0.52313961160456,0.473629089000801,0.446250651585374,1.9831741602075,12.3298524726084,31.0560096719576
"85","HI",2019,65,"Y","S_Alt","2019.03.06.29.02","Mother",24.03838914,0.47324,0.823199638295773,1.28312837808926,1.59266622169319,1.73215215399539,1.82798751574449,2.1970373853033,2.15083178148387,2.25673256368732,2.30658187701345,2.36103389051568,2.14828812414482,1.80990434174559,1.55591856381154,1.40225140056632,0.98428845649626,0.750243541485395,0.450862125754027,0.371480905217817,1.27939707394253,11.3759272766136,23.4534030634792
"86","HI",2019,65,"Y","S_Alt","2019.03.06.29.01","Calf",24.99439857,0.20791,0.337545764067087,0.551514648528953,0.666053107136319,0.859450788607268,0.943508155853161,0.985021078374494,1.05855276187914,1.08502468759935,1.06322189386705,1.0462919382706,0.966903703012614,0.865944961390007,0.744380719312797,0.605528996563157,0.455074337917462,0.362743487045579,0.274435312937015,0.323737397324433,0.95791932650299,5.1965854066887,2.34279960710577
"87","HI",2019,65,"Y","S_Alt","2019.03.06.30.02","Mother",27.19584267,0.48062,1.00211584004553,1.52711893286123,1.68805396930491,1.71817447269422,2.30256896600476,2.29859019442357,2.34790003604662,2.46041535683531,2.35908216182754,2.21403476289023,2.12078851261729,1.83969169883104,1.47886260303005,1.40434036816466,1.13239316051125,0.836237402116933,0.433356716529414,0.424456763935343,2.14531860665943,13.0708659040554,29.4822208807765
"88","HI",2019,65,"Y","S_Alt","2019.03.06.30.01","Calf",27.63142551,0.20655,0.335034496664524,0.51958423902386,0.751946643675427,0.92074374751578,1.05715037659551,1.12983760854868,1.10507604285234,1.11889448725006,1.13417855882495,1.13398108725045,0.984016836054913,0.872501327721836,0.750862262197,0.644830299782201,0.534719350827234,0.300772607762975,0.263316930043912,0.562884162184552,1.38724865462482,5.7072709390905,2.87183478781852
"89","HI",2019,65,"Y","S_Alt","2019.03.06.31.01","Mother",28.30762102,0.40778,0.89258887472927,1.26719029811443,1.51907855673634,1.71114491227857,2.06707276885839,2.00061694178599,2.09503636877551,2.21999008451665,2.28462322740869,2.25871894894676,2.13429391550746,1.85457711336432,1.71189522558904,1.48699169659614,1.13835803972225,0.86574959044968,0.374848449613529,0.339805355030079,1.5854050990537,11.5432816995356,24.1794962929403
"90","HI",2019,65,"Y","S_Alt","2019.03.06.31.02","Calf",26.1899782,0.18672,0.351110458766385,0.529213723071285,0.738335968878702,0.833030149912091,0.924710994185559,0.962902910383712,0.964286834926162,0.91957140162685,0.861770301602659,0.863904870729087,0.822569049625136,0.76856127210122,0.711631115402154,0.535663398262228,0.418618591358641,0.268018749003017,0.18829833810737,0.316593522404454,1.0242709169848,4.890192729504,1.78274599631138
