"","Region","Year","DOY","Grade_pass","Altitude_Source","Filename","Role","Pixel_Width_5","Pixel_Width_10","Pixel_Width_15","Pixel_Width_20","Pixel_Width_25","Pixel_Width_30","Pixel_Width_35","Pixel_Width_40","Pixel_Width_45","Pixel_Width_50","Pixel_Width_55","Pixel_Width_60","Pixel_Width_65","Pixel_Width_70","Pixel_Width_75","Pixel_Width_80","Pixel_Width_85","Pixel_Width_90","Pixel_Width_95","Corrected_height_m","Pixel_length"
"16","HI",2019,18,"Y","S_Alt","2019.01.18.37.02","Calf",7.77477264,10.95051608,12.63967284,17.1074055,16.43855557,18.56772086,19.05736632,18.97150426,18.21946983,16.51763367,14.11056637,11.70644078,10.15789799,8.412008144,7.032643984,5.787229916,4.361446694,5.207700054,16.64603653,"30.91753566",0.15871
"17","HI",2019,18,"Y","S_Alt","2019.01.18.39.01","Mother",6.978168225,10.54792137,12.8660168,13.8377193,17.00027905,16.70580737,16.4296944,17.36708089,17.8727557,17.38124915,16.32447706,14.47926531,12.26477828,10.31853964,7.615859995,5.193291654,3.288621244,2.651241656,11.75432469,"28.95496055",0.39991
"18","HI",2019,18,"Y","S_Alt","2019.01.18.39.02","Calf",7.535857354,11.08412997,12.26404586,16.50975708,17.12640058,18.6563085,18.95577509,19.53070627,18.80565157,18.4243933,15.996758,13.62290206,11.30035203,8.461549026,7.079675403,5.254443305,4.514247776,5.923629436,18.80377848,"30.95948877",0.1614
"19","HI",2019,18,"Y","S_Alt","2019.01.18.46.01","Mother",7.161791276,10.72130245,12.92165724,14.03786398,17.13754307,17.11962863,17.11527009,18.27278091,18.7815175,18.47389816,16.82046222,15.25812338,13.12270245,10.39185438,7.994632817,5.271805427,3.200237717,2.183869181,10.11408444,"29.72669054",0.43677
"20","HI",2019,18,"Y","S_Alt","2019.01.18.47.01","Calf",9.667448057,11.36653461,13.47669282,18.04931863,17.9027852,19.60061102,20.06176387,19.21272489,19.19342964,18.78801329,16.4022464,13.77020394,11.13885788,9.179531605,8.09607996,5.616790551,5.176974141,7.508265268,18.33034247,"33.40264928",0.14545
"21","HI",2019,19,"Y","S_Alt","2019.01.19.51.01","Mother",7.722746309,11.50976612,13.25700074,14.51813197,17.31404597,18.55621815,18.53447347,18.7458447,19.2715832,19.29071035,18.93147292,17.62829318,14.79049876,11.63501113,9.130206849,6.625714747,3.912492957,3.365994352,11.58374124,"34.11383692",0.33575
"22","HI",2019,19,"Y","S_Alt","2019.01.19.51.02","Calf",8.626249045,11.90189072,13.0444048,16.75567244,17.95293844,18.86527833,19.3280041,19.44187848,18.78122933,17.6590311,16.45586966,13.92221256,12.19848764,9.738229322,6.222795848,5.578872445,4.195834143,6.374408237,16.39352932,"29.76238252",0.14891
"23","HI",2019,19,"Y","S_Alt","2019.01.19.55.01","Mother",7.584917956,11.62090291,13.78739796,14.96985933,17.86477104,18.32547963,19.54056402,20.38974709,20.54156359,20.30680273,19.28764857,16.94989768,14.65880599,12.31482346,8.703766237,5.928312166,3.706092627,2.821669014,10.20925193,"29.10405971",0.41521
"24","HI",2019,19,"Y","S_Alt","2019.01.19.54.01","Calf",7.059899874,11.41786454,14.06683687,17.22243256,18.11153891,19.18895103,18.98578058,19.20267503,18.87760952,15.88206714,14.17140583,11.81114182,10.30060118,8.181942017,6.36166881,4.09114511,4.052878801,6.950287971,18.33396858,"34.71112469",0.14673
"25","HI",2019,19,"Y","S_Alt","2019.01.19.57.01","Mother",7.398641358,10.78046094,12.56968404,13.53820468,16.02723177,17.94604642,18.32999426,19.21077976,19.30041201,18.39887842,17.31037183,16.36913109,14.01288942,11.97407681,9.470173047,7.207910163,5.662489193,2.343082001,7.732688105,"27.19484647",0.44329
"26","HI",2019,19,"Y","S_Alt","2019.01.19.57.02","Calf",7.075881191,10.53908422,12.12848683,16.70040422,17.0099807,18.29811568,18.27351334,17.88051222,18.09942384,17.03830522,15.74920968,13.38301421,9.815698486,7.448242275,5.900984234,4.71610946,3.832334225,8.394069686,19.5652384,"27.64401144",0.18154
"27","HI",2019,19,"Y","S_Alt","2019.01.19.58.01","Mother",8.395162323,11.84722285,12.99994288,13.59248833,17.37798325,17.3024352,18.15322721,19.91914473,20.04957677,19.79911075,18.82018004,17.67334344,15.19344167,12.17541018,8.765097993,5.484377355,3.653273834,2.498368532,10.60263727,"33.90035617",0.39977
"28","HI",2019,19,"Y","S_Alt","2019.01.19.58.02","Calf",7.460153219,11.25151956,13.72275227,17.5415426,16.94974159,19.27668618,19.67028765,19.26102905,18.96212679,17.89800642,15.48757715,12.84626529,10.59544507,9.317540063,7.265964008,5.494271123,3.645049039,8.51860629,19.56238074,"32.69778001",0.15087
"29","HI",2019,19,"Y","S_Alt","2019.01.19.59.01","Mother",7.463863382,11.64132682,13.77456248,14.25338963,18.44221169,18.18336478,18.46931148,18.80052458,18.96323144,18.47252936,17.36539991,15.43132436,12.3975757,9.880524279,6.720522019,5.052053313,3.281332995,2.986164914,13.94778747,"29.75852475",0.43085
"30","HI",2019,19,"Y","S_Alt","2019.01.19.59.02","Calf",7.516838266,10.90292033,13.31693969,16.81104873,17.10804187,18.01417414,18.90865962,19.21650709,19.49278816,18.74310711,17.58894624,15.48632843,12.15648715,10.19369085,7.363712995,5.086429354,4.11900135,9.826624856,20.11113666,"29.57969245",0.17963
"31","HI",2019,19,"N","S_Alt","2019.01.19.62.01","Mother",7.215244209,10.75300546,12.92168575,14.20143271,18.15173676,18.21748934,19.21556781,21.4532252,21.25515721,21.14555714,19.6394283,17.52210449,14.50646064,11.44626314,8.365431342,5.524403918,3.269456088,3.07479899,10.00674516,"32.2733238",0.386169719
"32","HI",2019,19,"N","S_Alt","2019.01.19.62.02","Calf",9.576023924,13.55166897,16.65968502,20.69247348,21.59270043,22.38347422,23.06012092,23.76754707,24.38374872,23.41941449,22.62261366,20.82783373,17.22256919,13.70144077,10.39612269,6.087851253,4.779393938,5.270191188,15.85605627,"30.49022466",0.139633148
"33","HI",2019,19,"Y","S_Alt","2019.01.19.64.01","Mother",7.543805988,11.04810897,13.11435758,14.47830475,18.15738163,18.95026388,20.08613808,22.45777273,23.16203131,22.79576978,21.74081075,20.42620034,18.34629977,14.14375371,9.908932841,6.396897348,3.978867653,2.846703609,9.829122312,"35.18638203",0.34808
